[2025-06-05 23:52:33,562][INFO] step 0: train loss 4.6619, val loss 4.6648
[2025-06-05 23:52:33,568][INFO] Checkpoint saved to out/simple_graph_1_1_100_100/0_ckpt_20.pt
[2025-06-05 23:52:34,132][INFO] Iteration 0: Teacher Forcing Accuracy = 0.7441, Autoregressive (Lenient) Accuracy = 0.0000
[2025-06-05 23:52:34,133][INFO]     Error counts - wrong syntax: 213, incorrect start/end: 9787, non-existence path: 0
[2025-06-05 23:52:34,161][INFO] iter 0: loss 4.6632
[2025-06-05 23:52:34,187][INFO] iter 1: loss 4.6609
[2025-06-05 23:52:34,212][INFO] iter 2: loss 4.6591
[2025-06-05 23:52:34,236][INFO] iter 3: loss 4.6628
[2025-06-05 23:52:34,259][INFO] iter 4: loss 4.6637
[2025-06-05 23:52:34,282][INFO] iter 5: loss 4.6614
[2025-06-05 23:52:34,306][INFO] iter 6: loss 4.6612
[2025-06-05 23:52:34,329][INFO] iter 7: loss 4.6610
[2025-06-05 23:52:34,350][INFO] iter 8: loss 4.6593
[2025-06-05 23:52:34,372][INFO] iter 9: loss 4.6596
[2025-06-05 23:52:34,394][INFO] iter 10: loss 4.6624
[2025-06-05 23:52:34,416][INFO] iter 11: loss 4.6558
[2025-06-05 23:52:34,438][INFO] iter 12: loss 4.6523
[2025-06-05 23:52:34,459][INFO] iter 13: loss 4.6593
[2025-06-05 23:52:34,481][INFO] iter 14: loss 4.6539
[2025-06-05 23:52:34,503][INFO] iter 15: loss 4.6519
[2025-06-05 23:52:34,525][INFO] iter 16: loss 4.6597
[2025-06-05 23:52:34,547][INFO] iter 17: loss 4.6555
[2025-06-05 23:52:34,569][INFO] iter 18: loss 4.6520
[2025-06-05 23:52:34,591][INFO] iter 19: loss 4.6542
[2025-06-05 23:52:34,618][INFO] iter 20: loss 4.6522
[2025-06-05 23:52:34,644][INFO] iter 21: loss 4.6512
[2025-06-05 23:52:34,671][INFO] iter 22: loss 4.6476
[2025-06-05 23:52:34,697][INFO] iter 23: loss 4.6474
[2025-06-05 23:52:34,722][INFO] iter 24: loss 4.6500
[2025-06-05 23:52:34,746][INFO] iter 25: loss 4.6455
[2025-06-05 23:52:34,770][INFO] iter 26: loss 4.6458
[2025-06-05 23:52:34,794][INFO] iter 27: loss 4.6452
[2025-06-05 23:52:34,817][INFO] iter 28: loss 4.6440
[2025-06-05 23:52:34,841][INFO] iter 29: loss 4.6417
[2025-06-05 23:52:34,865][INFO] iter 30: loss 4.6364
[2025-06-05 23:52:34,966][INFO] iter 31: loss 4.6361
[2025-06-05 23:52:34,991][INFO] iter 32: loss 4.6380
[2025-06-05 23:52:35,013][INFO] iter 33: loss 4.6328
[2025-06-05 23:52:35,035][INFO] iter 34: loss 4.6254
[2025-06-05 23:52:35,057][INFO] iter 35: loss 4.6327
[2025-06-05 23:52:35,079][INFO] iter 36: loss 4.6261
[2025-06-05 23:52:35,101][INFO] iter 37: loss 4.6227
[2025-06-05 23:52:35,122][INFO] iter 38: loss 4.6232
[2025-06-05 23:52:35,144][INFO] iter 39: loss 4.6230
[2025-06-05 23:52:35,166][INFO] iter 40: loss 4.6175
[2025-06-05 23:52:35,188][INFO] iter 41: loss 4.6165
[2025-06-05 23:52:35,213][INFO] iter 42: loss 4.6047
[2025-06-05 23:52:35,240][INFO] iter 43: loss 4.6129
[2025-06-05 23:52:35,266][INFO] iter 44: loss 4.6069
[2025-06-05 23:52:35,291][INFO] iter 45: loss 4.6044
[2025-06-05 23:52:35,318][INFO] iter 46: loss 4.6029
[2025-06-05 23:52:35,343][INFO] iter 47: loss 4.6027
[2025-06-05 23:52:35,367][INFO] iter 48: loss 4.5965
[2025-06-05 23:52:35,390][INFO] iter 49: loss 4.5953
[2025-06-05 23:52:35,414][INFO] iter 50: loss 4.5894
[2025-06-05 23:52:35,437][INFO] iter 51: loss 4.5945
[2025-06-05 23:52:35,461][INFO] iter 52: loss 4.5903
[2025-06-05 23:52:35,483][INFO] iter 53: loss 4.5745
[2025-06-05 23:52:35,506][INFO] iter 54: loss 4.5741
[2025-06-05 23:52:35,529][INFO] iter 55: loss 4.5791
[2025-06-05 23:52:35,551][INFO] iter 56: loss 4.5777
[2025-06-05 23:52:35,574][INFO] iter 57: loss 4.5748
[2025-06-05 23:52:35,596][INFO] iter 58: loss 4.5704
[2025-06-05 23:52:35,619][INFO] iter 59: loss 4.5622
[2025-06-05 23:52:35,641][INFO] iter 60: loss 4.5596
[2025-06-05 23:52:35,662][INFO] iter 61: loss 4.5590
[2025-06-05 23:52:35,684][INFO] iter 62: loss 4.5554
[2025-06-05 23:52:35,706][INFO] iter 63: loss 4.5518
[2025-06-05 23:52:35,773][INFO] iter 64: loss 4.5474
[2025-06-05 23:52:35,796][INFO] iter 65: loss 4.5492
[2025-06-05 23:52:35,823][INFO] iter 66: loss 4.5405
[2025-06-05 23:52:35,851][INFO] iter 67: loss 4.5313
[2025-06-05 23:52:35,878][INFO] iter 68: loss 4.5353
[2025-06-05 23:52:35,905][INFO] iter 69: loss 4.5347
[2025-06-05 23:52:35,930][INFO] iter 70: loss 4.5306
[2025-06-05 23:52:35,955][INFO] iter 71: loss 4.5271
[2025-06-05 23:52:35,981][INFO] iter 72: loss 4.5208
[2025-06-05 23:52:36,006][INFO] iter 73: loss 4.5160
[2025-06-05 23:52:36,029][INFO] iter 74: loss 4.5137
[2025-06-05 23:52:36,052][INFO] iter 75: loss 4.5104
[2025-06-05 23:52:36,075][INFO] iter 76: loss 4.5070
[2025-06-05 23:52:36,098][INFO] iter 77: loss 4.5025
[2025-06-05 23:52:36,121][INFO] iter 78: loss 4.4985
[2025-06-05 23:52:36,143][INFO] iter 79: loss 4.4882
[2025-06-05 23:52:36,166][INFO] iter 80: loss 4.4872
[2025-06-05 23:52:36,189][INFO] iter 81: loss 4.4806
[2025-06-05 23:52:36,211][INFO] iter 82: loss 4.4795
[2025-06-05 23:52:36,233][INFO] iter 83: loss 4.4787
[2025-06-05 23:52:36,255][INFO] iter 84: loss 4.4767
[2025-06-05 23:52:36,277][INFO] iter 85: loss 4.4636
[2025-06-05 23:52:36,299][INFO] iter 86: loss 4.4652
[2025-06-05 23:52:36,322][INFO] iter 87: loss 4.4587
[2025-06-05 23:52:36,344][INFO] iter 88: loss 4.4550
[2025-06-05 23:52:36,366][INFO] iter 89: loss 4.4544
[2025-06-05 23:52:36,388][INFO] iter 90: loss 4.4470
[2025-06-05 23:52:36,411][INFO] iter 91: loss 4.4447
[2025-06-05 23:52:36,437][INFO] iter 92: loss 4.4382
[2025-06-05 23:52:36,465][INFO] iter 93: loss 4.4394
[2025-06-05 23:52:36,492][INFO] iter 94: loss 4.4297
[2025-06-05 23:52:36,518][INFO] iter 95: loss 4.4226
[2025-06-05 23:52:36,544][INFO] iter 96: loss 4.4161
[2025-06-05 23:52:36,568][INFO] iter 97: loss 4.4272
[2025-06-05 23:52:36,647][INFO] iter 98: loss 4.4143
[2025-06-05 23:52:36,669][INFO] iter 99: loss 4.4061
[2025-06-05 23:52:37,203][INFO] Iteration 100: Teacher Forcing Accuracy = 0.7285, Autoregressive (Lenient) Accuracy = 0.0000
[2025-06-05 23:52:37,204][INFO]     Error counts - wrong syntax: 469, incorrect start/end: 9529, non-existence path: 2
[2025-06-05 23:52:37,228][INFO] iter 100: loss 4.4023
[2025-06-05 23:52:37,252][INFO] iter 101: loss 4.4005
[2025-06-05 23:52:37,275][INFO] iter 102: loss 4.3980
[2025-06-05 23:52:37,299][INFO] iter 103: loss 4.3912
[2025-06-05 23:52:37,323][INFO] iter 104: loss 4.3851
[2025-06-05 23:52:37,346][INFO] iter 105: loss 4.3861
[2025-06-05 23:52:37,370][INFO] iter 106: loss 4.3751
[2025-06-05 23:52:37,393][INFO] iter 107: loss 4.3754
[2025-06-05 23:52:37,417][INFO] iter 108: loss 4.3728
[2025-06-05 23:52:37,439][INFO] iter 109: loss 4.3692
[2025-06-05 23:52:37,461][INFO] iter 110: loss 4.3638
[2025-06-05 23:52:37,484][INFO] iter 111: loss 4.3548
[2025-06-05 23:52:37,506][INFO] iter 112: loss 4.3554
[2025-06-05 23:52:37,528][INFO] iter 113: loss 4.3491
[2025-06-05 23:52:37,550][INFO] iter 114: loss 4.3467
[2025-06-05 23:52:37,573][INFO] iter 115: loss 4.3432
[2025-06-05 23:52:37,595][INFO] iter 116: loss 4.3410
[2025-06-05 23:52:37,617][INFO] iter 117: loss 4.3328
[2025-06-05 23:52:37,643][INFO] iter 118: loss 4.3310
[2025-06-05 23:52:37,670][INFO] iter 119: loss 4.3271
[2025-06-05 23:52:37,697][INFO] iter 120: loss 4.3242
[2025-06-05 23:52:37,724][INFO] iter 121: loss 4.3222
[2025-06-05 23:52:37,750][INFO] iter 122: loss 4.3175
[2025-06-05 23:52:37,775][INFO] iter 123: loss 4.3125
[2025-06-05 23:52:37,799][INFO] iter 124: loss 4.3093
[2025-06-05 23:52:37,824][INFO] iter 125: loss 4.3024
[2025-06-05 23:52:37,848][INFO] iter 126: loss 4.3066
[2025-06-05 23:52:37,871][INFO] iter 127: loss 4.2981
[2025-06-05 23:52:37,896][INFO] iter 128: loss 4.2907
[2025-06-05 23:52:37,920][INFO] iter 129: loss 4.2948
[2025-06-05 23:52:37,942][INFO] iter 130: loss 4.2813
[2025-06-05 23:52:37,965][INFO] iter 131: loss 4.2804
[2025-06-05 23:52:38,037][INFO] iter 132: loss 4.2819
[2025-06-05 23:52:38,059][INFO] iter 133: loss 4.2744
[2025-06-05 23:52:38,081][INFO] iter 134: loss 4.2721
[2025-06-05 23:52:38,103][INFO] iter 135: loss 4.2640
[2025-06-05 23:52:38,125][INFO] iter 136: loss 4.2680
[2025-06-05 23:52:38,149][INFO] iter 137: loss 4.2611
[2025-06-05 23:52:38,171][INFO] iter 138: loss 4.2588
[2025-06-05 23:52:38,193][INFO] iter 139: loss 4.2567
[2025-06-05 23:52:38,215][INFO] iter 140: loss 4.2519
[2025-06-05 23:52:38,242][INFO] iter 141: loss 4.2471
[2025-06-05 23:52:38,270][INFO] iter 142: loss 4.2429
[2025-06-05 23:52:38,297][INFO] iter 143: loss 4.2369
[2025-06-05 23:52:38,322][INFO] iter 144: loss 4.2346
[2025-06-05 23:52:38,348][INFO] iter 145: loss 4.2347
[2025-06-05 23:52:38,373][INFO] iter 146: loss 4.2304
[2025-06-05 23:52:38,397][INFO] iter 147: loss 4.2269
[2025-06-05 23:52:38,421][INFO] iter 148: loss 4.2276
[2025-06-05 23:52:38,445][INFO] iter 149: loss 4.2154
[2025-06-05 23:52:38,469][INFO] iter 150: loss 4.2138
[2025-06-05 23:52:38,492][INFO] iter 151: loss 4.2115
[2025-06-05 23:52:38,517][INFO] iter 152: loss 4.2107
[2025-06-05 23:52:38,540][INFO] iter 153: loss 4.2028
[2025-06-05 23:52:38,563][INFO] iter 154: loss 4.1998
[2025-06-05 23:52:38,586][INFO] iter 155: loss 4.1981
[2025-06-05 23:52:38,608][INFO] iter 156: loss 4.1911
[2025-06-05 23:52:38,631][INFO] iter 157: loss 4.1853
[2025-06-05 23:52:38,653][INFO] iter 158: loss 4.1846
[2025-06-05 23:52:38,675][INFO] iter 159: loss 4.1858
[2025-06-05 23:52:38,697][INFO] iter 160: loss 4.1726
[2025-06-05 23:52:38,719][INFO] iter 161: loss 4.1687
[2025-06-05 23:52:38,741][INFO] iter 162: loss 4.1716
[2025-06-05 23:52:38,762][INFO] iter 163: loss 4.1641
[2025-06-05 23:52:38,784][INFO] iter 164: loss 4.1569
[2025-06-05 23:52:38,879][INFO] iter 165: loss 4.1567
[2025-06-05 23:52:38,905][INFO] iter 166: loss 4.1538
[2025-06-05 23:52:38,932][INFO] iter 167: loss 4.1501
[2025-06-05 23:52:38,956][INFO] iter 168: loss 4.1458
[2025-06-05 23:52:38,980][INFO] iter 169: loss 4.1385
[2025-06-05 23:52:39,006][INFO] iter 170: loss 4.1402
[2025-06-05 23:52:39,029][INFO] iter 171: loss 4.1270
[2025-06-05 23:52:39,053][INFO] iter 172: loss 4.1308
[2025-06-05 23:52:39,076][INFO] iter 173: loss 4.1314
[2025-06-05 23:52:39,099][INFO] iter 174: loss 4.1221
[2025-06-05 23:52:39,123][INFO] iter 175: loss 4.1200
[2025-06-05 23:52:39,145][INFO] iter 176: loss 4.1157
[2025-06-05 23:52:39,169][INFO] iter 177: loss 4.1122
[2025-06-05 23:52:39,192][INFO] iter 178: loss 4.1088
[2025-06-05 23:52:39,215][INFO] iter 179: loss 4.1042
[2025-06-05 23:52:39,238][INFO] iter 180: loss 4.0965
[2025-06-05 23:52:39,260][INFO] iter 181: loss 4.0978
[2025-06-05 23:52:39,282][INFO] iter 182: loss 4.0986
[2025-06-05 23:52:39,304][INFO] iter 183: loss 4.0830
[2025-06-05 23:52:39,326][INFO] iter 184: loss 4.0860
[2025-06-05 23:52:39,348][INFO] iter 185: loss 4.0785
[2025-06-05 23:52:39,370][INFO] iter 186: loss 4.0772
[2025-06-05 23:52:39,392][INFO] iter 187: loss 4.0736
[2025-06-05 23:52:39,414][INFO] iter 188: loss 4.0624
[2025-06-05 23:52:39,439][INFO] iter 189: loss 4.0611
[2025-06-05 23:52:39,467][INFO] iter 190: loss 4.0546
[2025-06-05 23:52:39,496][INFO] iter 191: loss 4.0546
[2025-06-05 23:52:39,523][INFO] iter 192: loss 4.0521
[2025-06-05 23:52:39,549][INFO] iter 193: loss 4.0421
[2025-06-05 23:52:39,574][INFO] iter 194: loss 4.0365
[2025-06-05 23:52:39,599][INFO] iter 195: loss 4.0362
[2025-06-05 23:52:39,622][INFO] iter 196: loss 4.0314
[2025-06-05 23:52:39,646][INFO] iter 197: loss 4.0237
[2025-06-05 23:52:39,670][INFO] iter 198: loss 4.0216
[2025-06-05 23:52:39,754][INFO] iter 199: loss 4.0178
[2025-06-05 23:52:40,279][INFO] Iteration 200: Teacher Forcing Accuracy = 0.0430, Autoregressive (Lenient) Accuracy = 0.0000
[2025-06-05 23:52:40,279][INFO]     Error counts - wrong syntax: 223, incorrect start/end: 9777, non-existence path: 0
[2025-06-05 23:52:40,303][INFO] iter 200: loss 4.0109
[2025-06-05 23:52:40,327][INFO] iter 201: loss 4.0091
[2025-06-05 23:52:40,349][INFO] iter 202: loss 4.0110
[2025-06-05 23:52:40,373][INFO] iter 203: loss 4.0036
[2025-06-05 23:52:40,396][INFO] iter 204: loss 3.9990
[2025-06-05 23:52:40,419][INFO] iter 205: loss 3.9933
[2025-06-05 23:52:40,441][INFO] iter 206: loss 3.9843
[2025-06-05 23:52:40,462][INFO] iter 207: loss 3.9829
[2025-06-05 23:52:40,485][INFO] iter 208: loss 3.9778
[2025-06-05 23:52:40,507][INFO] iter 209: loss 3.9747
[2025-06-05 23:52:40,529][INFO] iter 210: loss 3.9710
[2025-06-05 23:52:40,550][INFO] iter 211: loss 3.9702
[2025-06-05 23:52:40,572][INFO] iter 212: loss 3.9599
[2025-06-05 23:52:40,594][INFO] iter 213: loss 3.9582
[2025-06-05 23:52:40,616][INFO] iter 214: loss 3.9507
[2025-06-05 23:52:40,638][INFO] iter 215: loss 3.9515
[2025-06-05 23:52:40,659][INFO] iter 216: loss 3.9464
[2025-06-05 23:52:40,687][INFO] iter 217: loss 3.9404
[2025-06-05 23:52:40,715][INFO] iter 218: loss 3.9334
[2025-06-05 23:52:40,742][INFO] iter 219: loss 3.9248
